"","Job.Family","Department.Code","Salaries","Year","Overtime","Union","Total.Benefits","Retirement","Total.Compensation"
"1","Clerical, Secretarial & Steno","HSA",60720.01,2019,0,"SEIU, Local 1021, Misc",33291.3,13653.2,94011.31
"2","Community Development","HSA",91677,2019,0,"SEIU, Local 1021, Misc",39669.09,17524.2,131346.09
"3","Human Services","HSA",89106.03,2019,0,"SEIU, Local 1021, Misc",39462.88,17327.2,130108.91
"4","Human Services","HSA",85581.11,2019,3355.94,"SEIU, Local 1021, Misc",37606.93,16359.16,126881.73
"5","Human Services","HSA",86457,2019,0,"SEIU, Local 1021, Misc",38917.62,16925.97,127464.62
"6","Human Services","HSA",89106.07,2019,0,"SEIU, Local 1021, Misc",39433.4,17446.56,130703.47
"7","Human Services","HSA",86407.12,2019,53.05,"SEIU, Local 1021, Misc",38107.47,16516.87,124567.64
"8","Clerical, Secretarial & Steno","HSA",50843.5,2019,0,"SEIU, Local 1021, Misc",30038.37,11431.17,80881.87
"9","Public Service Aide","HSA",2585.45,2019,0,"SEIU, Local 1021, Misc",227.78,0,2813.23
"10","Human Services","HSA",17751.02,2019,0,"SEIU, Local 1021, Misc",1425.32,0,19789.17
"11","Public Service Aide","HSA",2932,2019,0,"Laborers, Local 261",247.95,0,3240.52
"12","Clerical, Secretarial & Steno","HSA",60720.06,2019,84.71,"SEIU, Local 1021, Misc",33705.26,13909.62,95650.03
"13","Human Services","HSA",553.2,2019,0,"SEIU, Local 1021, Misc",285.78,106.49,838.98
"14","Journeyman Trade","HSA",0,2019,934.1,"Stationary Engineers, Local 39",73.97,0,1008.07
"15","Purchasing & Storekeeping","MTA",58609.47,2019,0,"SEIU, Local 1021, Misc",28576.88,11203.99,87186.35
"16","Street Transit","MTA",78375.96,2019,5197.49,"TWU, Local 250-A, TransitOpr",38102.46,15337.66,124088.72
"17","Journeyman Trade","MTA",95524,2019,60527.17,"Auto Machinist, Local 1414",46357.97,19234.48,207509.14
"18","Professional Engineering","MTA",104049.82,2019,0,"Prof & Tech Eng, Local 21",42327.78,19889.22,146377.6
"19","Street Transit","MTA",0,2019,185.48,"TWU, Local 250-A, TransitOpr",802.3,0,1237.78
"20","Street Transit","MTA",57058.38,2019,6924.24,"TWU, Local 250-A, TransitOpr",28924.71,11511.75,96560.91
"21","Street Transit","MTA",77262.82,2019,10660.91,"TWU, Local 250-A, TransitOpr",38029.86,14970,127544.14
"22","Protection & Apprehension","MTA",73726.11,2019,5358.06,"SEIU, Local 1021, Misc",34167.32,14306.01,115014.1
"23","Street Transit","MTA",76394.19,2019,24108.85,"TWU, Local 250-A, TransitOpr",38594.72,14744.1,140375.11
"24","Information Systems","MTA",121370.8,2019,0,"Prof & Tech Eng, Local 21",47835.74,23200.25,180589.55
"25","Journeyman Trade","MTA",95928.31,2019,16536.75,"Electrical Workers, Local 6",44586.45,18337.44,157051.51
"26","Journeyman Trade","MTA",91706,2019,26340.62,"Auto Machinist, Local 1414",46047.24,19584.81,174843.18
"27","Journeyman Trade","MTA",112983.79,2019,711.88,"Electrical Workers, Local 6",32825.42,21821.45,150694.25
"28","Street Transit","MTA",78331.54,2019,13123.64,"TWU, Local 250-A, TransitOpr",40313.72,16684.21,141269.27
"29","Protection & Apprehension","MTA",52798.85,2019,6127.02,"SEIU, Local 1021, Misc",15723.33,10218.76,75748.97
"30","Journeyman Trade","MTA",121648.02,2019,3732.57,"Electrical Workers, Local 6",49955.15,22657.66,175335.74
"31","Street Transit","MTA",76143.56,2019,12542.45,"TWU, Local 250-A, TransitOpr",37142.61,14574.87,126482.82
"32","Journeyman Trade","MTA",88307.49,2019,3925.01,"SF City Workers United",26042.44,17000.83,118889.94
"33","Purchasing & Storekeeping","MTA",74692,2019,99657.93,"SEIU, Local 1021, Misc",41735.71,14942.51,219564.28
"34","Street Transit","MTA",0,2019,419.47,"TWU, Local 250-A, TransitOpr",38.16,0,522.16
"35","Semi-Skilled & General Labor","MTA",73066.77,2019,21754.03,"Laborers, Local 261",36693.61,14566.08,134648.37
"36","Information Systems","MTA",104146.06,2019,0,"Prof & Tech Eng, Local 21",42353.95,19907.65,146500.01
"37","Human Services","HSA",86457.02,2019,2732.4,"SEIU, Local 1021, Misc",37843.45,16526.41,127032.87
"38","Police Services","POL",157998.12,2019,8426.33,"POA",52078.87,28973.15,220222.5
"39","Police Services","POL",137732.26,2019,27560.1,"POA",46544.9,25840.82,220840.81
